production_id;plate_id;created_at;username;name;titer;titer_atcc;titer_to_atcc;date_of_production
346;1430;September 10, 2014;mdesrosiers;346;49600000000000,00;2460000000,00;661333333333333,00;July 23, 2015
346;1431;September 18, 2014;emace;346;47000000000000,00;40100000000,00;38443890274314,20;July 23, 2015
347;1430;September 10, 2014;mdesrosiers;347;16200000000000,00;2460000000,00;216000000000000,00;July 23, 2015
347;1431;September 18, 2014;emace;347;13500000000000,00;40100000000,00;11042394014962,60;July 23, 2015
348;1431;September 18, 2014;emace;348;282000000000000,00;40100000000,00;230663341645885,00;July 23, 2015
348;1432;September 24, 2014;emace;348;254000000000000,00;17100000000,00;487204678362573,00;July 23, 2015
349;1431;September 18, 2014;emace;349;20500000000000,00;40100000000,00;16768079800498,80;July 30, 2015
349;1432;September 24, 2014;emace;349;18900000000000,00;17100000000,00;36252631578947,40;July 30, 2015
350;1431;September 18, 2014;emace;350;86700000000000,00;40100000000,00;70916708229426,40;July 30, 2015
350;1432;September 24, 2014;emace;350;59000000000000,00;17100000000,00;113169590643275,00;July 30, 2015
351;1431;September 18, 2014;emace;351;6720000000000,00;40100000000,00;5496658354114,71;August 6, 2015
351;1432;September 24, 2014;emace;351;3870000000000,00;17100000000,00;7423157894736,84;August 6, 2015
352;1432;September 24, 2014;emace;352;17500000000000,00;17100000000,00;33567251461988,30;August 13, 2015
353;1432;September 24, 2014;emace;353;44200000000000,00;17100000000,00;84781286549707,60;August 20, 2015
354;1432;September 24, 2014;emace;354;56900000000000,00;17100000000,00;109141520467836,00;August 20, 2015
355;1432;September 24, 2014;emace;355;158000000000000,00;17100000000,00;303064327485380,00;August 27, 2015
356;1433;October 1, 2014;emace;356;1910000000000,00;42900000000,00;1460326340326,34;September 3, 2015
357;1433;October 1, 2014;emace;357;330000000000000,00;42900000000,00;252307692307692,00;September 3, 2015
358;1433;October 1, 2014;emace;358;10700000000000,00;42900000000,00;8180885780885,78;September 3, 2015
359;1433;October 1, 2014;emace;359;9540000000000,00;42900000000,00;7293986013986,01;October 2, 2015
360;1434;October 9, 2014;emace;360;145000000000000,00;68900000000,00;69027576197387,50;October 2, 2015
361;1434;October 9, 2014;emace;361;127000000000000,00;68900000000,00;60458635703918,70;October 2, 2015
362;1434;October 9, 2014;emace;362;206000000000000,00;68900000000,00;98066763425254,00;October 2, 2015
363;1434;October 9, 2014;emace;363;241000000000000,00;68900000000,00;114728592162554,00;October 2, 2015
364;1435;October 17, 2014;emace;364;521000000000,00;41800000000,00;408822966507,18;October 9, 2015
365;1435;October 17, 2014;emace;365;45100000000000,00;41800000000,00;35389473684210,50;October 9, 2015
366;1435;October 17, 2014;emace;366;503000000000000,00;41800000000,00;394698564593301,00;October 9, 2015
367;1435;October 17, 2014;emace;367;70200000000000,00;41800000000,00;55085167464114,80;October 9, 2015
